Shuffle 1,,,Shuffle 2,,,Shuffle 3,,,Shuffle 4,,
HIT,SEVENTEEN,K-pop EDM,Love in the Dark,Adele,Pop Soul,Holy Holy Holy (Jesus Reigns),Highlands Worship,Christian Worship,Space Song,Beach House,Dream Pop
Jopping,SuperM,K-pop Stadium Pop,Lose You To Love Me,Selena Gomez,Pop Ballad,Only King Forever,Elevation Worship,Christian Worship,My Kind of Woman,Mac DeMarco,Indie Lo-fi
Tiger Inside,SuperM,K-pop EDM,Everything,Michael Bublé,Jazz Pop,Do It Again,Elevation Worship,Christian Worship,Heart to Heart,Mac DeMarco,Indie Rock
Superhuman,NCT 127,K-pop Electro,I’m Not The Only One,Sam Smith,Soul,Christ Be Magnified,Cody Carnes,Christian Worship,Falling for U,Khalid & CUCO,Indie
Sticker,NCT 127,K-pop Experimental,Best Part,Daniel Caesar & H.E.R.,R&B,You Say,Lauren Daigle,Christian Worship,Pretty Girl,Clairo,Bedroom Pop
Wannabe,ITZY,K-pop Dance Pop,Almost Is Never Enough,Ariana Grande,R&B Pop,Resurrecting,Elevation Worship,Christian Worship,Night Changes,One Direction,Pop Soft
La Vie en Rose,IZ*ONE,K-pop Pop,Hero,Enrique Iglesias,Pop,Run to the Father,Cody Carnes,Christian Worship,Where We Belong,Lost Sky,Emotional Pop
Bad Boy,Red Velvet,K-pop R&B,All of the Stars,Ed Sheeran,Pop,Wonder,Hillsong UNITED,Christian Worship,Perfect,Ed Sheeran,Romantic Pop
Psycho,Red Velvet,K-pop R&B,Just The Way You Are,Bruno Mars,Pop,Another in the Fire,Hillsong UNITED,Christian Worship,A Thousand Years,Christina Perri,Romantic Pop
RBB,Red Velvet,K-pop Hip-Hop Pop,Forever and Ever,He Is We,Indie Pop,See a Victory,Elevation Worship,Christian Worship,I Choose You,Andy Grammer,Love Pop
Dance The Night Away,TWICE,K-pop Dance,As Long as You Love Me,Backstreet Boys,Pop,Echo,Elevation Worship,Christian Worship,Somebody Else,The 1975,Indie Pop
I Can’t Stop Me,TWICE,K-pop Synthwave,If You’re Not The One,Daniel Bedingfield,Pop,Same God,Elevation Worship,Christian Worship,Robbers,The 1975,Indie Rock
Gotta Go,Chungha,K-pop Dance,My Love,Westlife,Pop,Who Am I,CASTING CROWNS,Christian Worship,Paris,The 1975,Indie Pop
Moonlight,HYO,K-pop EDM,More Than Words,Extreme,Acoustic Rock,Word of God Speak,MercyMe,Christian Worship,double take,dhruv,Indie Pop
Uh-Oh,(G)I-DLE,K-pop Hip-Hop,drivers license,Olivia Rodrigo,Indie Pop,How Great Is Our God,Chris Tomlin,Christian Worship,death bed,powfu,Lo-fi
